Sample	Breed	Sex	Weight	Height	Life span	Long legs	Drop ears	Large ears	Tail curl	Bulky	Muscled	White chest	White head	Hairless	Lengh of fur	Furnish	Boldness
Afghan Hound 1	Afghan Hound	M	24.95	66.04	13	2		1	1	1	1	2	1	1	2	1	
Afghan Hound 2	Afghan Hound	F	24.95	66.04	13	2		1	1	1	1	2	1	1	2	1	
Afghan Hound 3	Afghan Hound	M	24.95	66.04	13	2		1	1	1	1	2	1	1	2	1	
Airedale Terrier 1	Airedale Terrier	M	22.68	58.42	11			1	1	1	1	1	1	1	1	2	
Airedale Terrier 2	Airedale Terrier	F	22.68	58.42	11			1	1	1	1	1	1	1	1	2	
Airedale Terrier 3	Airedale Terrier	M	22.68	58.42	11			1	1	1	1	1	1	1	1	2	
Airedale Terrier 4	Airedale Terrier	M	22.68	58.42	11			1	1	1	1	1	1	1	1	2	
Alaskan Husky 1	Alaskan Husky	M	21.5	68	12.5		1	1	1	1	1	2	2	1	1	1	
Alaskan Husky 2	Alaskan Husky	M	21.5	68	12.5		1	1	1	1	1	2	2	1	1	1	
Alaskan Malamute 1	Alaskan Malamute	M	36.29	60.96	11		1	1	2	2	2	2		1	1	1	
Alaskan Malamute 2	Alaskan Malamute	F	36.29	60.96	11		1	1	2	2	2	2		1	1	1	
Alaskan Malamute 3	Alaskan Malamute	F	36.29	60.96	11		1	1	2	2	2	2		1	1	1	
Alpine Dachsbracke	Alpine Dachsbracke	M	16.5	37	12		2		1	1	1	1	1	1	1	1	
American Hairless Terrier	American Hairless Terrier	F	4.76	35.56	15	1	2	1	1	1	1	2		2		1	
Australian Cattle Dog 1	Australian Cattle Dog	M	20.87	46.99	14	1	1	1	1	1	1	1	2	1	1	1	
Australian Cattle Dog 2	Australian Cattle Dog	F	20.87	46.99	14	1	1	1	1	1	1	1	2	1	1	1	
Australian Cattle Dog 3	Australian Cattle Dog	F	20.87	46.99	14	1	1	1	1	1	1	1	2	1	1	1	
Australian Cattle Dog 4	Australian Cattle Dog	F	20.87	46.99	14	1	1	1	1	1	1	1	2	1	1	1	
Australian Terrier	Australian Terrier	M	6.58	26.67	13.5		1	1	1	1	1	1	1	1		2	
Basenji 1	Basenji	M	10.21	42	14		1	1	2	1	1	2	1	1	1	1	
Basenji 2	Basenji	M	10.21	42	14		1	1	2	1	1	2	1	1	1	1	
Basenji 3	Basenji	F	10.21	42	14		1	1	2	1	1	2	1	1	1	1	
Basenji 4	Basenji	F	10.21	42	14		1	1	2	1	1	2	1	1	1	1	
Bavarian Hound (Bayerischer Gebirgsschweisshund)	Bavarian Hound (Bayerischer Gebirgsschweisshund)	M	22.5	48	11	1	2		1			1	1	1	1	1	
Beagle 1	Beagle	M	10.89	36.83	12	1	2	2	2	1	1	2	2	1	1	1	2
Beagle 2	Beagle	M	10.89	36.83	12	1	2	2	2	1	1	2	2	1	1	1	2
Beagle 3	Beagle	F	10.89	36.83	12	1	2	2	2	1	1	2	2	1	1	1	2
Beagle 4	Beagle	F	10.89	36.83	12	1	2	2	2	1	1	2	2	1	1	1	2
Beagle 5	Beagle	F	10.89	36.83	12	1	2	2	2	1	1	2	2	1	1	1	2
Bearded Collie 1	Bearded Collie	F	22.68	53.34	14				1	1	1	2	2	1	2	2	
Bearded Collie 2	Bearded Collie	M	22.68	53.34	14				1	1	1	2	2	1	2	2	
Bearded Collie 3	Bearded Collie	M	22.68	53.34	14				1	1	1	2	2	1	2	2	
Bearded Collie 4	Bearded Collie	F	22.68	53.34	14				1	1	1	2	2	1	2	2	
Bearded Collie 5	Bearded Collie	M	22.68	53.34	14				1	1	1	2	2	1	2	2	
Bearded Collie 6	Bearded Collie	M	22.68	53.34	14				1	1	1	2	2	1	2	2	
